"term","Y2","Y3","Y4","Y5","OR_Y2","OR_Y3","OR_Y4","OR_Y5"
"SSADEMO^17",0.148992783244905,0.320929151035705,-0.349008038643574,-0.709244250824359,1.1606646129466,1.37840791866075,0.705387459888792,0.492015897596249
"SSADEMO^18",-0.135424921628008,-0.0471374059775314,-0.390113318285995,-2.85973991082997,0.873344729767622,0.95395630928522,0.676980155920517,0.0572836571869737
"SSADEMO^19",0.324125883390805,0.224474528949706,0.758184890965811,2.09360178050032,1.3828213704064,1.25166482972416,2.13439853628585,8.1140877591947
"SSADEMO^20",-0.0131016346567215,0.126723490220082,-0.228611042865007,-0.115692404521569,0.986983818160991,1.13510310727345,0.795637942382359,0.890749171580281
"SSADEMO^21",-0.482486113015246,-0.417639025102245,-0.507504619006912,-1.25569719126501,0.617246937053604,0.658599923561326,0.601995915243034,0.284877165101324
"SSADEMO^22",0.0557621296260912,-0.235637145896892,-0.486826767890219,-1.72916259342243,1.05734614249843,0.79006730108967,0.614573487585554,0.177432931278569
"SSADEMO^23",0.17697924054305,0.396050904469472,0.345404688544227,2.46354983705351,1.19360631425105,1.48594495686588,1.41256145145109,11.7464355492051
"SSADEMO^24",0.0960912072107265,0.112132113835567,0.116279983471936,-0.898300184153723,1.1008594657365,1.11866064143092,1.12331033643685,0.407261340989671
"SSADEMO^25",-0.3678203199038,-0.523513569710273,-0.562812305334061,1.18752381390282,0.692241552543667,0.592435324015778,0.569604906299387,3.27895185164967
"SSADEMO^26",-0.221622755680123,-0.0422481797853886,0.341468344631372,0.179711194977732,0.801217562104169,0.958631838003616,1.40701205311589,1.19687165065875
"SSADEMO^27",-0.113281288319456,0.107751655657612,0.363163677315931,-0.405319901497239,0.89289946259893,1.11377111228331,1.43787118687831,0.66676347810261
"SSADEMO^28",-0.19028508232228,-0.298166108788013,-0.331016754461485,-2.96612636996115,0.826723416114116,0.742178047212159,0.718193136000531,0.0515024257767199
"SSADEMO^29",-0.377243996228896,-0.102798863189906,0.187554233772902,1.69070153621724,0.685748733376709,0.902308442672717,1.20629566961237,5.42328400104344
